Text,Sentiment,clean_text,text_len_words,polarity,vader_score,sentiment
ovti ttm ending Oct 2012 Negative 151 million operational cash flow.. 273% decline vs yoy ttm ending oct 2011,-1,ovti ttm ending oct 2012 negative 151 million operational cash flow 273 decline vs yoy ttm ending oct 2011,19,-0.3,-0.5719,Negative
AAP and GOOG should respond positively to good jobless claims numbers,1,aap and goog should respond positively to good jobless claims numbers,11,0.7,0.743,Positive
Analyst price targets and earnings targets coming down---EXACTY what you want to see prior AAP reporting.,1,analyst price targets and earnings targets coming downexacty what you want to see prior aap reporting,16,0.0,0.0772,Neutral
user Nice! Color me an INTC bull as well!,1,user nice color me an intc bull as well,9,0.6,0.5994,Positive
"Heads p: AA Earnings (1/8/13) ess Than a Week Away, Tho The Season Doesn't EAY Begin Cranking 'Til 1/16 w/ GS JPM EBAY et al...",1,heads p aa earnings 1813 ess than a week away tho the season doesnt eay begin cranking til 116 w gs jpm ebay et al,25,0.0,0.0,Neutral
"trade idea buy WO  market 26.64, target 36, cut below 23.50  ",1,trade idea buy wo market 2664 target 36 cut below 2350,11,0.0,-0.2732,Negative
"Trade idea buy DC  market 58.50, target 67 , cut below 53  ",1,trade idea buy dc market 5850 target 67 cut below 53,11,0.0,-0.2732,Negative
GOOG looks all set to make new ATH. Now before or after E is the unknown.,1,goog looks all set to make new ath now before or after e is the unknown,16,0.018181818181818174,0.0,Neutral
GOOG trade this one long verse 10sma  ,1,goog trade this one long verse 10sma,7,-0.05,0.0,Neutral
"FNF - ong  19.43. Trailing Stop  21.04 from 6 prior Stops of 19.71, 19.52, 18.70, 18.65, 18.07 and 17.87 -  ",1,fnf ong 1943 trailing stop 2104 from 6 prior stops of 1971 1952 1870 1865 1807 and 1787,18,0.0,-0.4215,Negative
"FOD should see a solid move up tom, system predict nice green candle.",1,fod should see a solid move up tom system predict nice green candle,13,0.13333333333333333,0.5267,Positive
This is the year of fitness and health apps...the winners will be gynormous and the speculation will run high  nke,1,this is the year of fitness and health appsthe winners will be gynormous and the speculation will run high nke,20,0.16,0.6369,Positive
It's time to invest in MSFT COMPQ   ,1,its time to invest in msft compq,7,0.0,0.0,Neutral
"New Post: Shorts Will Make Dimes, ongs Will Make Dollars  AAP SPX QQQ P",1,new post shorts will make dimes ongs will make dollars aap spx qqq p,14,0.13636363636363635,0.0,Neutral
nbelieveable payment trend that VC's are chasing has easily played out in public markets.... EBAY V and Mastercard MA all time highs,1,nbelieveable payment trend that vcs are chasing has easily played out in public markets ebay v and mastercard ma all time highs,22,0.21666666666666667,0.5859,Positive
Some of the watch list stocks that triggered today OEX AGNX TV VBD XIDE PPC EXP  ONTY  BMN FS WK CHMT FBC  ISI AIG,1,some of the watch list stocks that triggered today oex agnx tv vbd xide ppc exp onty bmn fs wk chmt fbc isi aig,24,0.0,0.0,Neutral
Nice Bull flag breakout here OC #technology #software  ,1,nice bull flag breakout here oc technology software,8,0.6,0.4215,Positive
My setup alerts went bonkers today..One of many that got triggered.Cup+Handle breakout in PFE   ,1,my setup alerts went bonkers todayone of many that got triggeredcuphandle breakout in pfe,14,0.5,0.0,Neutral
The host with the most....congrats to the cloud today AX and user more all-time highs.  wow,1,the host with the mostcongrats to the cloud today ax and user more alltime highs wow,16,0.3,0.6204,Positive
X Did .S. Steel Just Breakout?  MT too,1,x did s steel just breakout mt too,8,0.0,0.0,Neutral
DNDN has broken through the clear 5.5 resistanc level on heavy volume & could be headed much higher  ,1,dndn has broken through the clear 55 resistanc level on heavy volume could be headed much higher,17,-0.0625,-0.128,Neutral
EXPE looks good for higher prices  ,1,expe looks good for higher prices,6,0.475,0.4404,Positive
apc weekly setting up long.  ,1,apc weekly setting up long,5,-0.05,0.0,Neutral
I am going into this morning long 3 each AAP 560 call options & GOOG 725 calls Jan 4th expiration,1,i am going into this morning long 3 each aap 560 call options goog 725 calls jan 4th expiration,19,-0.05,0.0,Neutral
ES_F path higher unthreatened unless 1452.25 support fails. See resistance at 1466.00 SPX #stocks.  ,1,esf path higher unthreatened unless 145225 support fails see resistance at 146600 spx stocks,14,-0.125,-0.0258,Neutral
Monitor the S line/price dynamic. Stocks that closed Dec.28 with the S line in new highs be4 price. MHO TSM IPGP EQIX BC BDC ASH,1,monitor the s lineprice dynamic stocks that closed dec28 with the s line in new highs be4 price mho tsm ipgp eqix bc bdc ash,25,0.012121212121212116,0.3818,Positive
DDD IDCC continue higher,1,ddd idcc continue higher,4,0.25,0.0,Neutral
"Had hoped to pick up some OST today, but looks like I'm a day too late. Nice move up this morning.",1,had hoped to pick up some ost today but looks like im a day too late nice move up this morning,21,0.15,0.8294,Positive
GPS wow that wa s a fast fast fade...,-1,gps wow that wa s a fast fast fade,9,0.16666666666666666,0.5859,Positive
AMZN going above 260. Should go near 300 if market behaves for a few weeks.,1,amzn going above 260 should go near 300 if market behaves for a few weeks,15,-0.03333333333333333,0.0,Neutral
Huston we have a GEEN AAP,1,huston we have a geen aap,6,0.0,0.0,Neutral
P long 9.55,1,p long 955,3,-0.05,0.0,Neutral
HN breakout...but 3rd day up so look for pullback to enter long.  ,1,hn breakoutbut 3rd day up so look for pullback to enter long,12,-0.025,0.0,Neutral
NG - ascend triangle much like FS & X breakouts 127 exten then 161.8 targets - fibs subjective  ,1,ng ascend triangle much like fs x breakouts 127 exten then 1618 targets fibs subjective,15,0.2,0.3612,Positive
KCG ... things that make you go hmmmm?  ,1,kcg things that make you go hmmmm,7,0.0,0.0,Neutral
VNG - Huge  news from patent attorney Dan avicher  ,1,vng huge news from patent attorney dan avicher,8,0.4000000000000001,0.3182,Positive
NG nhod - check the weekly - target previous lows 2006 :),1,ng nhod check the weekly target previous lows 2006,9,-0.16666666666666666,-0.2023,Negative
NG nhod - what do you see? check the weekly - target previous lows 2006 :)   ,1,ng nhod what do you see check the weekly target previous lows 2006,13,-0.16666666666666666,-0.2023,Negative
AIG American International Group Option Traders bet on 4% down move by next Friday  ,-1,aig american international group option traders bet on 4 down move by next friday,14,-0.038888888888888896,0.0,Neutral
P out balance +.32,1,p out balance 32,4,0.0,0.0,Neutral
VNG buys vs. Sells?,1,vng buys vs sells,4,0.0,0.0,Neutral
BAC In  12.00 since there is consolidation  this level. We could close = > 12.09 if market is stable in pm IMHO.,1,bac in 1200 since there is consolidation this level we could close 1209 if market is stable in pm imho,20,0.0,0.296,Positive
VNG Parabolic moves are a comin',1,vng parabolic moves are a comin,6,0.0,0.0,Neutral
New Sony pre-owned block tech patent unearthed SNE ... 50% of GME profits from pre owned ..last one out turn off the lights,-1,new sony preowned block tech patent unearthed sne 50 of gme profits from pre owned last one out turn off the lights,22,0.06818181818181818,0.0,Neutral
"we liked VS, we love WYNN from 111 entry to new up target yesterday at 121. very nice !   ",1,we liked vs we love wynn from 111 entry to new up target yesterday at 121 very nice,18,0.5040909090909091,0.8777,Positive
user: SPX 1464.90 Wave iv would be 20 points lower [1467.00 KEY] ES_F HOD 1460.00 (under neckline 1458.50 very bearish) ,-1,user spx 146490 wave iv would be 20 points lower 146700 key esf hod 146000 under neckline 145850 very bearish,20,0.1,-0.296,Negative
"DDD consolidating the strong move from previous days between 55 and 60, next buy point above 60 on volume (holding).",1,ddd consolidating the strong move from previous days between 55 and 60 next buy point above 60 on volume holding,20,0.06666666666666665,0.5106,Positive
VNG - 12 mil shares shorts plus long buying = massive VNG short squeeze. Just when you thought story was dead avicher kills short thesis,1,vng 12 mil shares shorts plus long buying massive vng short squeeze just when you thought story was dead avicher kills short thesis,23,-0.05,-0.765,Negative
"Wow, not good for BKS T user ... sales for the Nook were down 13% over the holidays  ",-1,wow not good for bks t user sales for the nook were down 13 over the holidays,17,-0.13518518518518519,0.6116,Positive
AC from watch list - volume did pick up and is now 139% of full day average -from 200-day bounce   ,1,ac from watch list volume did pick up and is now 139 of full day average from 200day bounce,19,0.09999999999999999,0.0,Neutral
"The new wightwatchers ads are more fun and light and with regular people more interesting, but I still dont trust them WTW (no position)",-1,the new wightwatchers ads are more fun and light and with regular people more interesting but i still dont trust them wtw no position,24,0.33376623376623377,-0.4696,Negative
AMZN holding up well - next buy point when clears this upper trend line on heavy volume  ,1,amzn holding up well next buy point when clears this upper trend line on heavy volume,16,-0.06666666666666667,0.34,Positive
MA exactly what you want to see a follow thru day after breaking out to new highs on volume  ,1,ma exactly what you want to see a follow thru day after breaking out to new highs on volume,19,0.19318181818181818,0.0772,Neutral
ZCS user There's your buying,1,zcs user theres your buying,5,0.0,0.0,Neutral
AAP SPY no more QE for 2013. Now bring the Geithner.,-1,aap spy no more qe for 2013 now bring the geithner,11,-0.25,-0.296,Negative
Over extended stock market + unexpected news from the FED minutes = Down ESD & a panicky ES_F NQ_F.,-1,over extended stock market unexpected news from the fed minutes down esd a panicky esf nqf,16,-0.02777777777777779,-0.3612,Negative
"SPY ncle Ben needed to spice up things a little. AAP people were bored, wake up now.",-1,spy ncle ben needed to spice up things a little aap people were bored wake up now,17,-0.34375,-0.2732,Negative
AAP might close at the lows of the day. Bears will be in control again below the descending trendline. Watch it.,-1,aap might close at the lows of the day bears will be in control again below the descending trendline watch it,21,0.0,-0.2023,Negative
FAN - seeking 200d. Im adding some synthetic shorts here and will add again at 200d.,-1,fan seeking 200d im adding some synthetic shorts here and will add again at 200d,15,0.0,0.3182,Positive
"CWST low of day 4.50, near high of day 4.56, watchn for b/out, minimal risk",1,cwst low of day 450 near high of day 456 watchn for bout minimal risk,15,0.04,-0.4939,Negative
All of the above: gme Gamestop short targets  spy,-1,all of the above gme gamestop short targets spy,9,0.0,0.0,Neutral
time to get out of the #cloud stocks VMW CM,-1,time to get out of the cloud stocks vmw cm,10,0.0,0.0,Neutral
BAC Keep Overniight mmy pos. will bin premarket Tmorrow too.,1,bac keep overniight mmy pos will bin premarket tmorrow too,10,0.0,0.0,Neutral
Polk Expects 2013 .S. New Vehicle egistrations to each 15.3 Million - Polk -  F GM I think this is low,1,polk expects 2013 s new vehicle egistrations to each 153 million polk f gm i think this is low,19,0.06818181818181818,-0.2732,Negative
Very bullish on market  also talked trends for SCTY OST ANGI FIO  PANW A JCP P YEP MNST GPN on show.,1,very bullish on market also talked trends for scty ost angi fio panw a jcp p yep mnst gpn on show,21,0.2,0.296,Positive
BAC what happens next?  ,-1,bac what happens next,4,0.0,0.0,Neutral
KCG someone bought 3.22k 4 Jan 18 Calls....,1,kcg someone bought 322k 4 jan 18 calls,8,0.0,0.0,Neutral
Man I didnt know about Skippy when I made this...would have thrown in a jar H #Hormel  ,1,man i didnt know about skippy when i made thiswould have thrown in a jar h hormel,17,0.0,0.0,Neutral
"Big move in bonds today, 7 months high for 10 y rate, still going lower here ZN_F, could get truly ugly if good NFP number in AM SPY TT",1,big move in bonds today 7 months high for 10 y rate still going lower here znf could get truly ugly if good nfp number in am spy tt,29,0.04000000000000001,0.1531,Neutral
Market Wrap Video + Additions to Watch ist  including: BCEI BJI CEE ES SONS SQNM NX YEP,1,market wrap video additions to watch ist including bcei bji cee es sons sqnm nx yep,16,0.0,0.296,Positive
Maybe when vrng asked the judge for a 7% royalty it became too risky for goog to deal with?  they want to settle,1,maybe when vrng asked the judge for a 7 royalty it became too risky for goog to deal with they want to settle,23,0.0,-0.128,Neutral
BJI Over 35.53 if good volume  ,1,bji over 3553 if good volume,6,0.7,0.4404,Positive
CEE Over 35.12  ,1,cee over 3512,3,0.0,0.0,Neutral
SQNM  Over 5.05  ,1,sqnm over 505,3,0.0,0.0,Neutral
NX On flag break  ,1,nx on flag break,4,0.0,0.0,Neutral
3D Systems Brings Next-Gen Consumer 3D Printing to CES 2013  DDD,1,3d systems brings nextgen consumer 3d printing to ces 2013 ddd,11,0.0,0.0,Neutral
AAP will top out in April when Aston Kutcher stars in 'jOBS'.  Kinda like how Facebook did when 'Social Network' came out. FB,-1,aap will top out in april when aston kutcher stars in jobs kinda like how facebook did when social network came out fb,23,0.26666666666666666,0.4601,Positive
"VNG w/ MACD turning up & above its signal line, VNG could post a nice rally from current levels  ",1,vng w macd turning up above its signal line vng could post a nice rally from current levels,18,0.19999999999999998,0.4215,Positive
PI 3Q 10Q operational cash flow for 9mos -20million. 269%decline vs. 9mos year ago.,-1,pi 3q 10q operational cash flow for 9mos 20million 269decline vs 9mos year ago,14,0.0,0.4767,Positive
bbby 3Q 10Q Operational Cash Flow 135 million. 53 increase vs. year ago Q3. 64% improvement q o q,1,bbby 3q 10q operational cash flow 135 million 53 increase vs year ago q3 64 improvement q o q,19,0.0,0.8126,Positive
DI 6mos operational cash flow 267 million. increases 187 million vs.6mos year ago. 233% increase,1,di 6mos operational cash flow 267 million increases 187 million vs6mos year ago 233 increase,15,0.0,-0.4215,Negative
AM 3Q 10Q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago.,1,am 3q 10q 9mos operational cash flow 32 million vs neg 26 mil 9mos year ago,16,0.0,0.4767,Positive
am 3Q operational cash flow neg 16 million.  vs. year ago 3Q of negative 68million.  52 million improvement,1,am 3q operational cash flow neg 16 million vs year ago 3q of negative 68million 52 million improvement,18,-0.3,-0.1779,Neutral
"A quiet Carl Icahn = Bullish.  NFX shorts should be paranoid on every close as they will get acquired.  Think aapl, msft, amzn, fb",1,a quiet carl icahn bullish nfx shorts should be paranoid on every close as they will get acquired think aapl msft amzn fb,23,0.0,-0.25,Negative
I am an aapl bull but cannot break this trend line in OBV   ,-1,i am an aapl bull but cannot break this trend line in obv,13,0.0,0.0,Neutral
user Phantom7 I've been calling +4 ever since the start of this thing. 3.75 should be a given~ KCG,1,user phantom7 ive been calling 4 ever since the start of this thing 375 should be a given kcg,19,0.0,0.0,Neutral
NX on watch list above small flag on volume of 26% of ave full day so good volume  ,1,nx on watch list above small flag on volume of 26 of ave full day so good volume,18,0.19999999999999998,0.5777,Positive
GOOG poised to clear this next resistance (buy / add area) watch action / volume closely here   ,1,goog poised to clear this next resistance buy add area watch action volume closely here,15,0.06666666666666667,0.5574,Positive
GDP on watch list slightly over line and 50-day EMA light volume of 5% ave full day   ,1,gdp on watch list slightly over line and 50day ema light volume of 5 ave full day,17,0.19444444444444445,0.0,Neutral
"Took some profits off DDD, will add if breaks 60 on volume.",1,took some profits off ddd will add if breaks 60 on volume,12,0.0,0.4404,Positive
CHK - what I'm looking at - small risk position calls only. Scalp - maybe a swing XE watch.   ,1,chk what im looking at small risk position calls only scalp maybe a swing xe watch,16,-0.125,-0.2732,Negative
"ONTY If the holders would just hold out or raise their ask here, this could really pop. Going to climb slowly regardless...",1,onty if the holders would just hold out or raise their ask here this could really pop going to climb slowly regardless,22,-0.05000000000000002,0.0,Neutral
EOG PXD OAS #energyswag,1,eog pxd oas energyswag,4,0.0,0.0,Neutral
AAP moving down with volume. Couldnt cope with the descending trend line. Trend is still down. Perhaps 460 is not impossible after all.,-1,aap moving down with volume couldnt cope with the descending trend line trend is still down perhaps 460 is not impossible after all,23,0.007407407407407381,0.0,Neutral
AAP 50EMA continue to work as AAP is making lower highs in the MACO sense   ,-1,aap 50ema continue to work as aap is making lower highs in the maco sense,15,0.0,-0.296,Negative
"Went short SPY yesterday, should have picked AAP instead. Still think market needs to move down a bit then resume move to the upside.",-1,went short spy yesterday should have picked aap instead still think market needs to move down a bit then resume move to the upside,24,-0.07777777777777779,0.0,Neutral
AAP people be realistic. Market undecided what to do with apple. Earnings will lift that cloud. If GOOD we might EAY see a reversal.,-1,aap people be realistic market undecided what to do with apple earnings will lift that cloud if good we might eay see a reversal,24,0.4333333333333333,0.25,Positive
Will watch the close carefully then decide whether to ONG or SHOT AAP. Below 530 SHOT!!!,-1,will watch the close carefully then decide whether to ong or shot aap below 530 shot,16,-0.1,0.128,Neutral
"JCP Keep an eye on this triangle. big short int, 34%. reports Feb 27. cup & handle. at DT. ong  ",1,jcp keep an eye on this triangle big short int 34 reports feb 27 cup handle at dt ong,19,0.0,0.0,Neutral
sold a little goog ...first time in a while,1,sold a little goog first time in a while,9,0.03125,0.0,Neutral
Nice cup with handle breakout on MCA,1,nice cup with handle breakout on mca,7,0.6,0.4215,Positive
FAF new highs.,1,faf new highs,3,0.13636363636363635,0.0,Neutral
SPY giving AAP the finger. We don't care about you anymore lol,-1,spy giving aap the finger we dont care about you anymore lol,12,0.8,0.3761,Positive
The Smith&Corona doing ok. AMZN,1,the smithcorona doing ok amzn,5,0.5,0.296,Positive
"VA - ong  43.07. Trailing Stop  58.98 from 11 Stops of 54.53, 52.45, 48.05, 47.32, 46.71, ... 41.32 & 39.57 -  ",1,va ong 4307 trailing stop 5898 from 11 stops of 5453 5245 4805 4732 4671 4132 3957,17,0.0,-0.4215,Negative
AMZN alert update: a last minute push tried to shake out puts. we're hanging on for now.  ,-1,amzn alert update a last minute push tried to shake out puts were hanging on for now,17,0.0,0.128,Neutral
AAP volume higher today than monday. Keep that in mind.,1,aap volume higher today than monday keep that in mind,10,0.25,0.0,Neutral
"HB.A - ong  73.67. Trailing Stop  71.92 from 3 prior Stops of 70.86, 68.64 and 62.41 -  ",1,hba ong 7367 trailing stop 7192 from 3 prior stops of 7086 6864 and 6241,15,0.0,-0.4215,Negative
"The key is not to panic here.  AAP is in the domain of twitchy day traders on robots now, but long term should hold up on fundamentals",1,the key is not to panic here aap is in the domain of twitchy day traders on robots now but long term should hold up on fundamentals,27,-0.025,0.2146,Positive
NVDA 4 hour - love to see the vol explode.   ,1,nvda 4 hour love to see the vol explode,9,0.5,0.6369,Positive
VNG - Take a hard look at GOOG FTC settlement over patents.  FTC making GOOG play nice with VNG?  Makes Sense  ,1,vng take a hard look at goog ftc settlement over patents ftc making goog play nice with vng makes sense,20,0.15416666666666665,0.5859,Positive
some worried I had gone OCO with my 737.71 up call for GOOG ! now at door step of nearly 40 move  ,1,some worried i had gone oco with my 73771 up call for goog now at door step of nearly 40 move,21,0.1,-0.296,Negative
VNG its crazy that anyone listens and trades off this tool.,1,vng its crazy that anyone listens and trades off this tool,11,-0.6,-0.34,Negative
GOOG  is getting fueled by AAP's reversal.,1,goog is getting fueled by aaps reversal,7,0.0,0.0,Neutral
user why make a BBY offer now when he can shave 4 more off offer price? Bid went from 24-26 to just 20 in a matter of months.,-1,user why make a bby offer now when he can shave 4 more off offer price bid went from 2426 to just 20 in a matter of months,28,0.5,0.0258,Neutral
NVDA - to answer your question entry (add) was the red candle at 10:50AM today. ove flags  ,1,nvda to answer your question entry add was the red candle at 1050am today ove flags,16,0.0,0.0,Neutral
"AAP 950 lot bid in the Feb 580 call at 9.50, might push the stock up or create support. 26 delta option",1,aap 950 lot bid in the feb 580 call at 950 might push the stock up or create support 26 delta option,22,0.0,0.5859,Positive
"WPI - was on our short candidate list 12/31 and we missed it, got started short today",-1,wpi was on our short candidate list 1231 and we missed it got started short today,16,0.0,-0.296,Negative
MYE breaking out,1,mye breaking out,3,0.0,0.0,Neutral
